Security,GICS Sub-Industry,Headquarters Location
Regions Financial Corporation,Regional Banks,"Birmingham, Alabama"
Republic Services,Environmental & Facilities Services,"Phoenix, Arizona"
ResMed,Health Care Equipment,"San Diego, California"
Revvity,Health Care Equipment,"Waltham, Massachusetts"
Robert Half,Human Resource & Employment Services,"Menlo Park, California"
Rockwell Automation,Electrical Components & Equipment,"Milwaukee, Wisconsin"
"Rollins, Inc.",Environmental & Facilities Services,"Atlanta, Georgia"
Roper Technologies,Electronic Equipment & Instruments,"Sarasota, Florida"
Ross Stores,Apparel Retail,"Dublin, California"
Royal Caribbean Group,"Hotels, Resorts & Cruise Lines","Miami, Florida"
S&P Global,Financial Exchanges & Data,"New York City, New York"
Salesforce,Application Software,"San Francisco, California"
SBA Communications,Telecom Tower REITs,"Boca Raton, Florida"
Schlumberger,Oil & Gas Equipment & Services,"Houston, Texas"
Seagate Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland"
Sempra Energy,Multi-Utilities,"San Diego, California"
ServiceNow,Systems Software,"Santa Clara, California"
Sherwin-Williams,Specialty Chemicals,"Cleveland, Ohio"
Simon Property Group,Retail REITs,"Indianapolis, Indiana"
Skyworks Solutions,Semiconductors,"Irvine, California"
J.M. Smucker Company (The),Packaged Foods & Meats,"Orrville, Ohio"
Snap-on,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin"
Solventum,Health Care Technology,"Saint Paul, Minnesota"
Southern Company,Electric Utilities,"Atlanta, Georgia"
Southwest Airlines,Passenger Airlines,"Dallas, Texas"
Stanley Black & Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut"
Starbucks,Restaurants,"Seattle, Washington"
State Street Corporation,Asset Management & Custody Banks,"Boston, Massachusetts"
Steel Dynamics,Steel,"Fort Wayne, Indiana"
Steris,Health Care Equipment,"Dublin, Ireland"
Stryker Corporation,Health Care Equipment,"Kalamazoo, Michigan"
Supermicro,"Technology Hardware, Storage & Peripherals","San Jose, California"
Synchrony Financial,Consumer Finance,"Stamford, Connecticut"
Synopsys,Application Software,"Sunnyvale, California"
Sysco,Food Distributors,"Houston, Texas"
T-Mobile US,Wireless Telecommunication Services,"Bellevue, Washington"
T. Rowe Price,Asset Management & Custody Banks,"Baltimore, Maryland"
Take-Two Interactive,Interactive Home Entertainment,"New York City, New York"
"Tapestry, Inc.","Apparel, Accessories & Luxury Goods","New York City, New York"
Targa Resources,Oil & Gas Storage & Transportation,"Houston, Texas"
Target Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota"
TE Connectivity,Electronic Manufacturing Services,"Schaffhausen, Switzerland"
Teledyne Technologies,Electronic Equipment & Instruments,"Thousand Oaks, California"
Teleflex,Health Care Equipment,"Wayne, Pennsylvania"
Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts"
"Tesla, Inc.",Automobile Manufacturers,"Austin, Texas"
Texas Instruments,Semiconductors,"Dallas, Texas"
Textron,Aerospace & Defense,"Providence, Rhode Island"
Thermo Fisher Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts"
TJX Companies,Apparel Retail,"Framingham, Massachusetts"
Tractor Supply,Other Specialty Retail,"Brentwood, Tennessee"
Trane Technologies,Building Products,"Dublin, Ireland"
TransDigm Group,Aerospace & Defense,"Cleveland, Ohio"
Travelers Companies (The),Property & Casualty Insurance,"New York City, New York"
Trimble Inc.,Electronic Equipment & Instruments,"Westminster, Colorado"
Truist,Regional Banks,"Charlotte, North Carolina"
Tyler Technologies,Application Software,"Plano, Texas"
Tyson Foods,Packaged Foods & Meats,"Springdale, Arkansas"
