Security,GICS Sub-Industry,Headquarters Location,hiring_software_engineers
Southern Company,Electric Utilities,"Atlanta, Georgia",False
Southwest Airlines,Passenger Airlines,"Dallas, Texas",False
Stanley Black & Decker,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",False
Starbucks,Restaurants,"Seattle, Washington",False
State Street Corporation,Asset Management & Custody Banks,"Boston, Massachusetts",False
Steel Dynamics,Steel,"Fort Wayne, Indiana",False
Steris,Health Care Equipment,"Dublin, Ireland",False
Stryker Corporation,Health Care Equipment,"Kalamazoo, Michigan",False
Synchrony Financial,Consumer Finance,"Stamford, Connecticut",False
Sysco,Food Distributors,"Houston, Texas",False
T-Mobile US,Wireless Telecommunication Services,"Bellevue, Washington",False
T. Rowe Price,Asset Management & Custody Banks,"Baltimore, Maryland",False
Take-Two Interactive,Interactive Home Entertainment,"New York City, New York",False
"Tapestry, Inc.","Apparel, Accessories & Luxury Goods","New York City, New York",False
Targa Resources,Oil & Gas Storage & Transportation,"Houston, Texas",False
Target Corporation,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",False
TE Connectivity,Electronic Manufacturing Services,"Schaffhausen, Switzerland",False
Teleflex,Health Care Equipment,"Wayne, Pennsylvania",False
Teradyne,Semiconductor Materials & Equipment,"North Reading, Massachusetts",False
"Tesla, Inc.",Automobile Manufacturers,"Austin, Texas",False
Texas Instruments,Semiconductors,"Dallas, Texas",False
Textron,Aerospace & Defense,"Providence, Rhode Island",False
Thermo Fisher Scientific,Life Sciences Tools & Services,"Waltham, Massachusetts",False
TJX Companies,Apparel Retail,"Framingham, Massachusetts",False
Tractor Supply,Other Specialty Retail,"Brentwood, Tennessee",False
Trane Technologies,Building Products,"Dublin, Ireland",False
TransDigm Group,Aerospace & Defense,"Cleveland, Ohio",False
Travelers Companies (The),Property & Casualty Insurance,"New York City, New York",False
Truist,Regional Banks,"Charlotte, North Carolina",False
Tyson Foods,Packaged Foods & Meats,"Springdale, Arkansas",False
U.S. Bank,Diversified Banks,"Minneapolis, Minnesota",False
Uber,Passenger Ground Transportation,"San Francisco, California",False
Ulta Beauty,Other Specialty Retail,"Bolingbrook, Illinois",False
Union Pacific Corporation,Rail Transportation,"Omaha, Nebraska",False
United Airlines Holdings,Passenger Airlines,"Chicago, Illinois",False
United Parcel Service,Air Freight & Logistics,"Sandy Springs, Georgia",False
United Rentals,Trading Companies & Distributors,"Stamford, Connecticut",False
UnitedHealth Group,Managed Health Care,"Minnetonka, Minnesota",False
